Relative LMP error,Methods,Congestion State,System Scale,Case
0.000264186,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.029471388,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.023940204,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.04364184,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.028433421,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.055965646,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.014733023,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.019996148,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.012195439,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.010153284,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.00067636,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.004467573,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.041312596,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.038018146,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.057139196,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.063037323,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.033134035,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.037421564,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.066385163,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.090222342,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.042927579,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.013745262,Lossless DCOPF,Non-congested,Small systems,case24_ieee_rts
0.001667066,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.001595373,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.003730877,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.00108037,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000983606,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.002873552,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000166189,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000592026,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000808218,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.001941041,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000767885,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000410357,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000247213,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000634718,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.001161432,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.001208627,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.002987878,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.003567165,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000894642,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.00145558,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.003952528,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.007686831,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.002218199,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.000126301,Method in [18],Non-congested,Small systems,case24_ieee_rts
0.013336222,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000359901,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003002516,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.005830827,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.00971724,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.007589071,Method in [22],Non-congested,Small systems,case24_ieee_rts
3.29899E-05,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000338533,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000102682,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003663986,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.001537571,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.001218492,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000315419,Method in [22],Non-congested,Small systems,case24_ieee_rts
7.94106E-05,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003293216,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003279926,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.005781021,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.006505672,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.002671738,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003150313,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.006968423,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.011485779,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.003924027,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000342159,Method in [22],Non-congested,Small systems,case24_ieee_rts
0.000728578,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000652582,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.003904816,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000443011,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.001685151,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.003397502,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000693483,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000172065,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000880447,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.002006942,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000680539,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000281617,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000143409,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000244475,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.00176456,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.001823461,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.003721081,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.004215957,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.001353243,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.001930175,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.004703766,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.008680843,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.002750705,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.000508827,Proposed method,Non-congested,Small systems,case24_ieee_rts
0.03267185,Lossless DCOPF,Non-congested,Small systems,case30
0.025668725,Lossless DCOPF,Non-congested,Small systems,case30
0.009013539,Lossless DCOPF,Non-congested,Small systems,case30
0.004738364,Lossless DCOPF,Non-congested,Small systems,case30
0.011527145,Lossless DCOPF,Non-congested,Small systems,case30
0.002649244,Lossless DCOPF,Non-congested,Small systems,case30
0.002911544,Lossless DCOPF,Non-congested,Small systems,case30
0.409676395,Lossless DCOPF,Non-congested,Small systems,case30
0.00872463,Lossless DCOPF,Non-congested,Small systems,case30
0.014641189,Lossless DCOPF,Non-congested,Small systems,case30
0.00872463,Lossless DCOPF,Non-congested,Small systems,case30
0.00534054,Lossless DCOPF,Non-congested,Small systems,case30
0.005340249,Lossless DCOPF,Non-congested,Small systems,case30
0.020118676,Lossless DCOPF,Non-congested,Small systems,case30
0.01715467,Lossless DCOPF,Non-congested,Small systems,case30
0.015283469,Lossless DCOPF,Non-congested,Small systems,case30
0.018801038,Lossless DCOPF,Non-congested,Small systems,case30
0.031249439,Lossless DCOPF,Non-congested,Small systems,case30
0.035110125,Lossless DCOPF,Non-congested,Small systems,case30
0.030971405,Lossless DCOPF,Non-congested,Small systems,case30
0.01673169,Lossless DCOPF,Non-congested,Small systems,case30
0.013604915,Lossless DCOPF,Non-congested,Small systems,case30
0.006253617,Lossless DCOPF,Non-congested,Small systems,case30
0.024499301,Lossless DCOPF,Non-congested,Small systems,case30
0.037069845,Lossless DCOPF,Non-congested,Small systems,case30
0.054132311,Lossless DCOPF,Non-congested,Small systems,case30
0.032379763,Lossless DCOPF,Non-congested,Small systems,case30
0.081355424,Lossless DCOPF,Non-congested,Small systems,case30
0.045338769,Lossless DCOPF,Non-congested,Small systems,case30
0.066943684,Lossless DCOPF,Non-congested,Small systems,case30
0.022025114,Method in [18],Non-congested,Small systems,case30
0.022720732,Method in [18],Non-congested,Small systems,case30
0.023426077,Method in [18],Non-congested,Small systems,case30
0.023712715,Method in [18],Non-congested,Small systems,case30
0.023928857,Method in [18],Non-congested,Small systems,case30
0.02560528,Method in [18],Non-congested,Small systems,case30
0.024625452,Method in [18],Non-congested,Small systems,case30
0.382111818,Method in [18],Non-congested,Small systems,case30
0.019187847,Method in [18],Non-congested,Small systems,case30
0.015867519,Method in [18],Non-congested,Small systems,case30
0.019187847,Method in [18],Non-congested,Small systems,case30
0.016729291,Method in [18],Non-congested,Small systems,case30
0.016729581,Method in [18],Non-congested,Small systems,case30
0.01599663,Method in [18],Non-congested,Small systems,case30
0.014218129,Method in [18],Non-congested,Small systems,case30
0.016514801,Method in [18],Non-congested,Small systems,case30
0.015973321,Method in [18],Non-congested,Small systems,case30
0.014474898,Method in [18],Non-congested,Small systems,case30
0.014483322,Method in [18],Non-congested,Small systems,case30
0.014845973,Method in [18],Non-congested,Small systems,case30
0.01324087,Method in [18],Non-congested,Small systems,case30
0.012624801,Method in [18],Non-congested,Small systems,case30
0.007826988,Method in [18],Non-congested,Small systems,case30
