Relative LMP error,Methods,Congestion State,System Scale,Case
0.00026716,Method in [22],Non-congested,Large systems,case2736sp
0.000189938,Method in [22],Non-congested,Large systems,case2736sp
0.000234406,Method in [22],Non-congested,Large systems,case2736sp
0.000102789,Method in [22],Non-congested,Large systems,case2736sp
0.00021675,Method in [22],Non-congested,Large systems,case2736sp
8.78419E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000120242,Method in [22],Non-congested,Large systems,case2736sp
0.000323022,Method in [22],Non-congested,Large systems,case2736sp
9.6416E-05,Method in [22],Non-congested,Large systems,case2736sp
3.49939E-05,Method in [22],Non-congested,Large systems,case2736sp
7.98851E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000142798,Method in [22],Non-congested,Large systems,case2736sp
4.59899E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000159126,Method in [22],Non-congested,Large systems,case2736sp
0.000170795,Method in [22],Non-congested,Large systems,case2736sp
0.000202145,Method in [22],Non-congested,Large systems,case2736sp
5.79731E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000244402,Method in [22],Non-congested,Large systems,case2736sp
3.00001E-06,Method in [22],Non-congested,Large systems,case2736sp
0.000361826,Method in [22],Non-congested,Large systems,case2736sp
0.000182159,Method in [22],Non-congested,Large systems,case2736sp
0.000213496,Method in [22],Non-congested,Large systems,case2736sp
0.000250779,Method in [22],Non-congested,Large systems,case2736sp
0.000303563,Method in [22],Non-congested,Large systems,case2736sp
0.0001792,Method in [22],Non-congested,Large systems,case2736sp
0.00012796,Method in [22],Non-congested,Large systems,case2736sp
4.06207E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000714372,Method in [22],Non-congested,Large systems,case2736sp
0.00028585,Method in [22],Non-congested,Large systems,case2736sp
0.000286867,Method in [22],Non-congested,Large systems,case2736sp
0.000266377,Method in [22],Non-congested,Large systems,case2736sp
3.99114E-05,Method in [22],Non-congested,Large systems,case2736sp
4.32066E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000561879,Method in [22],Non-congested,Large systems,case2736sp
0.000649006,Method in [22],Non-congested,Large systems,case2736sp
8.51019E-05,Method in [22],Non-congested,Large systems,case2736sp
0.000917648,Method in [22],Non-congested,Large systems,case2736sp
0.000166396,Method in [22],Non-congested,Large systems,case2736sp
0.000390879,Method in [22],Non-congested,Large systems,case2736sp
0.000298233,Method in [22],Non-congested,Large systems,case2736sp
0.000268297,Method in [22],Non-congested,Large systems,case2736sp
0.000160841,Method in [22],Non-congested,Large systems,case2736sp
0.001385054,Method in [22],Non-congested,Large systems,case2736sp
0.000698851,Method in [22],Non-congested,Large systems,case2736sp
0.006201821,Method in [22],Non-congested,Large systems,case2736sp
0.003385921,Method in [22],Non-congested,Large systems,case2736sp
1.91247E-05,Method in [22],Non-congested,Large systems,case2736sp
0.002627245,Method in [22],Non-congested,Large systems,case2736sp
0.004376168,Method in [22],Non-congested,Large systems,case2736sp
0.00103535,Method in [22],Non-congested,Large systems,case2736sp
0.00125378,Method in [22],Non-congested,Large systems,case2736sp
0.000335116,Method in [22],Non-congested,Large systems,case2736sp
0.000560491,Method in [22],Non-congested,Large systems,case2736sp
0.003092793,Method in [22],Non-congested,Large systems,case2736sp
0.002399689,Method in [22],Non-congested,Large systems,case2736sp
0.000271887,Method in [22],Non-congested,Large systems,case2736sp
0.000859419,Method in [22],Non-congested,Large systems,case2736sp
0.000927554,Method in [22],Non-congested,Large systems,case2736sp
0.000832834,Method in [22],Non-congested,Large systems,case2736sp
0.001181273,Method in [22],Non-congested,Large systems,case2736sp
0.001167037,Method in [22],Non-congested,Large systems,case2736sp
0.003003719,Method in [22],Non-congested,Large systems,case2736sp
0.000645318,Method in [22],Non-congested,Large systems,case2736sp
0.00511566,Method in [22],Non-congested,Large systems,case2736sp
0.000705554,Method in [22],Non-congested,Large systems,case2736sp
0.004652778,Method in [22],Non-congested,Large systems,case2736sp
0.004661402,Method in [22],Non-congested,Large systems,case2736sp
0.000931986,Method in [22],Non-congested,Large systems,case2736sp
0.001424004,Method in [22],Non-congested,Large systems,case2736sp
0.006207985,Method in [22],Non-congested,Large systems,case2736sp
0.001741392,Method in [22],Non-congested,Large systems,case2736sp
0.001641186,Method in [22],Non-congested,Large systems,case2736sp
0.007185298,Method in [22],Non-congested,Large systems,case2736sp
0.005966422,Method in [22],Non-congested,Large systems,case2736sp
0.005421761,Method in [22],Non-congested,Large systems,case2736sp
0.003741958,Method in [22],Non-congested,Large systems,case2736sp
0.003510515,Method in [22],Non-congested,Large systems,case2736sp
0.000710794,Method in [22],Non-congested,Large systems,case2736sp
0.006363352,Method in [22],Non-congested,Large systems,case2736sp
0.006070607,Method in [22],Non-congested,Large systems,case2736sp
5.68691E-05,Method in [22],Non-congested,Large systems,case2736sp
0.005368202,Method in [22],Non-congested,Large systems,case2736sp
0.001487649,Method in [22],Non-congested,Large systems,case2736sp
0.001605433,Method in [22],Non-congested,Large systems,case2736sp
0.001174432,Method in [22],Non-congested,Large systems,case2736sp
0.002576361,Method in [22],Non-congested,Large systems,case2736sp
0.00293402,Method in [22],Non-congested,Large systems,case2736sp
0.001186822,Method in [22],Non-congested,Large systems,case2736sp
0.003572865,Method in [22],Non-congested,Large systems,case2736sp
0.000976782,Method in [22],Non-congested,Large systems,case2736sp
0.000980894,Method in [22],Non-congested,Large systems,case2736sp
0.008489553,Method in [22],Non-congested,Large systems,case2736sp
0.001241839,Method in [22],Non-congested,Large systems,case2736sp
0.002873058,Method in [22],Non-congested,Large systems,case2736sp
0.00075679,Method in [22],Non-congested,Large systems,case2736sp
0.005502129,Method in [22],Non-congested,Large systems,case2736sp
0.004696142,Method in [22],Non-congested,Large systems,case2736sp
0.005540185,Method in [22],Non-congested,Large systems,case2736sp
0.00376351,Method in [22],Non-congested,Large systems,case2736sp
0.002319731,Method in [22],Non-congested,Large systems,case2736sp
0.000256151,Method in [22],Non-congested,Large systems,case2736sp
0.003580155,Method in [22],Non-congested,Large systems,case2736sp
0.000656767,Method in [22],Non-congested,Large systems,case2736sp
0.001975479,Method in [22],Non-congested,Large systems,case2736sp
0.002655883,Method in [22],Non-congested,Large systems,case2736sp
0.006271781,Method in [22],Non-congested,Large systems,case2736sp
0.000331082,Method in [22],Non-congested,Large systems,case2736sp
0.000286556,Method in [22],Non-congested,Large systems,case2736sp
0.002577127,Method in [22],Non-congested,Large systems,case2736sp
0.005000966,Method in [22],Non-congested,Large systems,case2736sp
0.006382178,Method in [22],Non-congested,Large systems,case2736sp
0.005530376,Method in [22],Non-congested,Large systems,case2736sp
0.004382364,Method in [22],Non-congested,Large systems,case2736sp
0.001240675,Method in [22],Non-congested,Large systems,case2736sp
0.003214411,Method in [22],Non-congested,Large systems,case2736sp
0.009288721,Method in [22],Non-congested,Large systems,case2736sp
0.009525753,Method in [22],Non-congested,Large systems,case2736sp
0.001912206,Method in [22],Non-congested,Large systems,case2736sp
0.007658735,Method in [22],Non-congested,Large systems,case2736sp
0.002446308,Method in [22],Non-congested,Large systems,case2736sp
0.000503979,Method in [22],Non-congested,Large systems,case2736sp
0.002863042,Method in [22],Non-congested,Large systems,case2736sp
0.003524356,Method in [22],Non-congested,Large systems,case2736sp
0.011429384,Method in [22],Non-congested,Large systems,case2736sp
0.003610178,Method in [22],Non-congested,Large systems,case2736sp
0.000197639,Method in [22],Non-congested,Large systems,case2736sp
0.011396055,Method in [22],Non-congested,Large systems,case2736sp
0.011419647,Method in [22],Non-congested,Large systems,case2736sp
0.011492277,Method in [22],Non-congested,Large systems,case2736sp
0.01176448,Method in [22],Non-congested,Large systems,case2736sp
0.006367047,Method in [22],Non-congested,Large systems,case2736sp
0.00630852,Method in [22],Non-congested,Large systems,case2736sp
0.005803779,Method in [22],Non-congested,Large systems,case2736sp
0.00252503,Method in [22],Non-congested,Large systems,case2736sp
0.003254471,Method in [22],Non-congested,Large systems,case2736sp
0.00389689,Method in [22],Non-congested,Large systems,case2736sp
0.001787777,Method in [22],Non-congested,Large systems,case2736sp
0.001760211,Method in [22],Non-congested,Large systems,case2736sp
0.011836429,Method in [22],Non-congested,Large systems,case2736sp
0.011317992,Method in [22],Non-congested,Large systems,case2736sp
0.005962431,Method in [22],Non-congested,Large systems,case2736sp
0.00543858,Method in [22],Non-congested,Large systems,case2736sp
0.005951746,Method in [22],Non-congested,Large systems,case2736sp
0.005961992,Method in [22],Non-congested,Large systems,case2736sp
0.005663935,Method in [22],Non-congested,Large systems,case2736sp
0.007246356,Method in [22],Non-congested,Large systems,case2736sp
0.007187951,Method in [22],Non-congested,Large systems,case2736sp
0.001079736,Method in [22],Non-congested,Large systems,case2736sp
0.007165535,Method in [22],Non-congested,Large systems,case2736sp
0.004941398,Method in [22],Non-congested,Large systems,case2736sp
0.011944473,Method in [22],Non-congested,Large systems,case2736sp
0.000450833,Method in [22],Non-congested,Large systems,case2736sp
0.005089929,Method in [22],Non-congested,Large systems,case2736sp
0.0036815,Method in [22],Non-congested,Large systems,case2736sp
2.98649E-06,Method in [22],Non-congested,Large systems,case2736sp
0.000620788,Method in [22],Non-congested,Large systems,case2736sp
0.001204941,Method in [22],Non-congested,Large systems,case2736sp
0.002132678,Method in [22],Non-congested,Large systems,case2736sp
0.002123466,Method in [22],Non-congested,Large systems,case2736sp
0.001128629,Method in [22],Non-congested,Large systems,case2736sp
0.003362088,Method in [22],Non-congested,Large systems,case2736sp
0.000924901,Method in [22],Non-congested,Large systems,case2736sp
0.00079727,Method in [22],Non-congested,Large systems,case2736sp
0.00077382,Method in [22],Non-congested,Large systems,case2736sp
0.000733891,Method in [22],Non-congested,Large systems,case2736sp
0.000552091,Method in [22],Non-congested,Large systems,case2736sp
0.003328006,Method in [22],Non-congested,Large systems,case2736sp
0.005424464,Method in [22],Non-congested,Large systems,case2736sp
0.000859204,Method in [22],Non-congested,Large systems,case2736sp
0.000854553,Method in [22],Non-congested,Large systems,case2736sp
0.002489452,Method in [22],Non-congested,Large systems,case2736sp
0.000475253,Method in [22],Non-congested,Large systems,case2736sp
0.000584587,Method in [22],Non-congested,Large systems,case2736sp
0.000583418,Method in [22],Non-congested,Large systems,case2736sp
0.000896717,Method in [22],Non-congested,Large systems,case2736sp
0.000523824,Method in [22],Non-congested,Large systems,case2736sp
0.000800914,Method in [22],Non-congested,Large systems,case2736sp
0.000760935,Method in [22],Non-congested,Large systems,case2736sp
0.002928699,Method in [22],Non-congested,Large systems,case2736sp
0.002791299,Method in [22],Non-congested,Large systems,case2736sp
0.000211102,Method in [22],Non-congested,Large systems,case2736sp
0.001697012,Method in [22],Non-congested,Large systems,case2736sp
0.002326731,Method in [22],Non-congested,Large systems,case2736sp
0.004638997,Method in [22],Non-congested,Large systems,case2736sp
0.002052841,Method in [22],Non-congested,Large systems,case2736sp
0.001112218,Method in [22],Non-congested,Large systems,case2736sp
0.000773843,Method in [22],Non-congested,Large systems,case2736sp
0.000777026,Method in [22],Non-congested,Large systems,case2736sp
0.002949732,Method in [22],Non-congested,Large systems,case2736sp
0.011358912,Method in [22],Non-congested,Large systems,case2736sp
0.010090068,Method in [22],Non-congested,Large systems,case2736sp
0.003467306,Method in [22],Non-congested,Large systems,case2736sp
0.002843047,Method in [22],Non-congested,Large systems,case2736sp
0.003351008,Method in [22],Non-congested,Large systems,case2736sp
0.006345691,Method in [22],Non-congested,Large systems,case2736sp
0.003061736,Method in [22],Non-congested,Large systems,case2736sp
0.000948331,Method in [22],Non-congested,Large systems,case2736sp
0.005142141,Method in [22],Non-congested,Large systems,case2736sp
0.001259902,Method in [22],Non-congested,Large systems,case2736sp
0.003064867,Method in [22],Non-congested,Large systems,case2736sp
0.010896042,Method in [22],Non-congested,Large systems,case2736sp
0.002706562,Method in [22],Non-congested,Large systems,case2736sp
0.002677053,Method in [22],Non-congested,Large systems,case2736sp
0.002662926,Method in [22],Non-congested,Large systems,case2736sp
0.002102169,Method in [22],Non-congested,Large systems,case2736sp
0.002337663,Method in [22],Non-congested,Large systems,case2736sp
0.002334266,Method in [22],Non-congested,Large systems,case2736sp
0.003427412,Method in [22],Non-congested,Large systems,case2736sp
0.002771064,Method in [22],Non-congested,Large systems,case2736sp
0.002919229,Method in [22],Non-congested,Large systems,case2736sp
0.002881118,Method in [22],Non-congested,Large systems,case2736sp
0.006602264,Method in [22],Non-congested,Large systems,case2736sp
0.000673731,Method in [22],Non-congested,Large systems,case2736sp
0.00072606,Method in [22],Non-congested,Large systems,case2736sp
0.005784976,Method in [22],Non-congested,Large systems,case2736sp
0.000858777,Method in [22],Non-congested,Large systems,case2736sp
0.001912604,Method in [22],Non-congested,Large systems,case2736sp
0.003485936,Method in [22],Non-congested,Large systems,case2736sp
0.003432757,Method in [22],Non-congested,Large systems,case2736sp
0.001316443,Method in [22],Non-congested,Large systems,case2736sp
0.001333071,Method in [22],Non-congested,Large systems,case2736sp
0.000197581,Method in [22],Non-congested,Large systems,case2736sp
0.00481286,Method in [22],Non-congested,Large systems,case2736sp
0.005199309,Method in [22],Non-congested,Large systems,case2736sp
0.004749401,Method in [22],Non-congested,Large systems,case2736sp
0.002611067,Method in [22],Non-congested,Large systems,case2736sp
0.004865045,Method in [22],Non-congested,Large systems,case2736sp
0.004637129,Method in [22],Non-congested,Large systems,case2736sp
0.004804473,Method in [22],Non-congested,Large systems,case2736sp
0.003562977,Method in [22],Non-congested,Large systems,case2736sp
0.010124957,Method in [22],Non-congested,Large systems,case2736sp
0.010123376,Method in [22],Non-congested,Large systems,case2736sp
0.000132253,Method in [22],Non-congested,Large systems,case2736sp
0.003463371,Method in [22],Non-congested,Large systems,case2736sp
0.005486409,Method in [22],Non-congested,Large systems,case2736sp
0.002442311,Method in [22],Non-congested,Large systems,case2736sp
0.001289842,Method in [22],Non-congested,Large systems,case2736sp
0.002978126,Method in [22],Non-congested,Large systems,case2736sp
0.004119608,Method in [22],Non-congested,Large systems,case2736sp
0.006115045,Method in [22],Non-congested,Large systems,case2736sp
0.003062577,Method in [22],Non-congested,Large systems,case2736sp
0.003056923,Method in [22],Non-congested,Large systems,case2736sp
0.003080543,Method in [22],Non-congested,Large systems,case2736sp
0.003220098,Method in [22],Non-congested,Large systems,case2736sp
0.003109156,Method in [22],Non-congested,Large systems,case2736sp
0.002645955,Method in [22],Non-congested,Large systems,case2736sp
0.001928445,Method in [22],Non-congested,Large systems,case2736sp
0.004529968,Method in [22],Non-congested,Large systems,case2736sp
0.004322714,Method in [22],Non-congested,Large systems,case2736sp
0.004676539,Method in [22],Non-congested,Large systems,case2736sp
0.003533463,Method in [22],Non-congested,Large systems,case2736sp
0.003537927,Method in [22],Non-congested,Large systems,case2736sp
0.003499262,Method in [22],Non-congested,Large systems,case2736sp
0.002591094,Method in [22],Non-congested,Large systems,case2736sp
0.004631554,Method in [22],Non-congested,Large systems,case2736sp
0.003239467,Method in [22],Non-congested,Large systems,case2736sp
0.003741674,Method in [22],Non-congested,Large systems,case2736sp
0.007498147,Method in [22],Non-congested,Large systems,case2736sp
0.000422306,Method in [22],Non-congested,Large systems,case2736sp
0.000336345,Method in [22],Non-congested,Large systems,case2736sp
0.005809581,Method in [22],Non-congested,Large systems,case2736sp
0.000296853,Method in [22],Non-congested,Large systems,case2736sp
0.007966135,Method in [22],Non-congested,Large systems,case2736sp
0.005918471,Method in [22],Non-congested,Large systems,case2736sp
0.004046221,Method in [22],Non-congested,Large systems,case2736sp
0.004236693,Method in [22],Non-congested,Large systems,case2736sp
0.000459674,Method in [22],Non-congested,Large systems,case2736sp
0.002037665,Method in [22],Non-congested,Large systems,case2736sp
0.002205384,Method in [22],Non-congested,Large systems,case2736sp
0.006810966,Method in [22],Non-congested,Large systems,case2736sp
0.007356994,Method in [22],Non-congested,Large systems,case2736sp
0.006430392,Method in [22],Non-congested,Large systems,case2736sp
0.004636355,Method in [22],Non-congested,Large systems,case2736sp
0.002219204,Method in [22],Non-congested,Large systems,case2736sp
0.005033612,Method in [22],Non-congested,Large systems,case2736sp
0.000893523,Method in [22],Non-congested,Large systems,case2736sp
0.004101003,Method in [22],Non-congested,Large systems,case2736sp
0.004927148,Method in [22],Non-congested,Large systems,case2736sp
0.005035437,Method in [22],Non-congested,Large systems,case2736sp
0.003096106,Method in [22],Non-congested,Large systems,case2736sp
0.002263165,Method in [22],Non-congested,Large systems,case2736sp
0.005568044,Method in [22],Non-congested,Large systems,case2736sp
0.007928995,Method in [22],Non-congested,Large systems,case2736sp
0.003291156,Method in [22],Non-congested,Large systems,case2736sp
0.003176099,Method in [22],Non-congested,Large systems,case2736sp
0.000261076,Method in [22],Non-congested,Large systems,case2736sp
0.001253522,Method in [22],Non-congested,Large systems,case2736sp
0.002749716,Method in [22],Non-congested,Large systems,case2736sp
0.002614344,Method in [22],Non-congested,Large systems,case2736sp
0.002158688,Method in [22],Non-congested,Large systems,case2736sp
0.002315487,Method in [22],Non-congested,Large systems,case2736sp
1.27817E-05,Method in [22],Non-congested,Large systems,case2736sp
0.002677236,Method in [22],Non-congested,Large systems,case2736sp
0.003044237,Method in [22],Non-congested,Large systems,case2736sp
0.000883094,Method in [22],Non-congested,Large systems,case2736sp
0.004859921,Method in [22],Non-congested,Large systems,case2736sp
0.010096162,Method in [22],Non-congested,Large systems,case2736sp
0.010104642,Method in [22],Non-congested,Large systems,case2736sp
0.001410932,Method in [22],Non-congested,Large systems,case2736sp
0.010057635,Method in [22],Non-congested,Large systems,case2736sp
0.006593584,Method in [22],Non-congested,Large systems,case2736sp
0.00066838,Method in [22],Non-congested,Large systems,case2736sp
0.006350397,Method in [22],Non-congested,Large systems,case2736sp
0.005409366,Method in [22],Non-congested,Large systems,case2736sp
0.000900721,Method in [22],Non-congested,Large systems,case2736sp
0.003822784,Method in [22],Non-congested,Large systems,case2736sp
0.000669254,Method in [22],Non-congested,Large systems,case2736sp
0.000484529,Method in [22],Non-congested,Large systems,case2736sp
0.000710462,Method in [22],Non-congested,Large systems,case2736sp
0.000802196,Method in [22],Non-congested,Large systems,case2736sp
0.00697971,Method in [22],Non-congested,Large systems,case2736sp
0.003506328,Method in [22],Non-congested,Large systems,case2736sp
0.000899104,Method in [22],Non-congested,Large systems,case2736sp
0.000297143,Method in [22],Non-congested,Large systems,case2736sp
0.003996964,Method in [22],Non-congested,Large systems,case2736sp
0.004473084,Method in [22],Non-congested,Large systems,case2736sp
0.004035142,Method in [22],Non-congested,Large systems,case2736sp
0.003931392,Method in [22],Non-congested,Large systems,case2736sp
0.002468887,Method in [22],Non-congested,Large systems,case2736sp
0.002471297,Method in [22],Non-congested,Large systems,case2736sp
0.003336531,Method in [22],Non-congested,Large systems,case2736sp
0.002280176,Method in [22],Non-congested,Large systems,case2736sp
0.002272586,Method in [22],Non-congested,Large systems,case2736sp
0.001954505,Method in [22],Non-congested,Large systems,case2736sp
0.001955606,Method in [22],Non-congested,Large systems,case2736sp
0.001956702,Method in [22],Non-congested,Large systems,case2736sp
0.004705399,Method in [22],Non-congested,Large systems,case2736sp
0.004709425,Method in [22],Non-congested,Large systems,case2736sp
0.001305742,Method in [22],Non-congested,Large systems,case2736sp
0.001304725,Method in [22],Non-congested,Large systems,case2736sp
0.001357451,Method in [22],Non-congested,Large systems,case2736sp
0.001354081,Method in [22],Non-congested,Large systems,case2736sp
0.002405646,Method in [22],Non-congested,Large systems,case2736sp
0.002404487,Method in [22],Non-congested,Large systems,case2736sp
0.004612056,Method in [22],Non-congested,Large systems,case2736sp
0.002399247,Method in [22],Non-congested,Large systems,case2736sp
0.00240867,Method in [22],Non-congested,Large systems,case2736sp
0.002246935,Method in [22],Non-congested,Large systems,case2736sp
0.002143979,Method in [22],Non-congested,Large systems,case2736sp
0.002143977,Method in [22],Non-congested,Large systems,case2736sp
0.003350651,Method in [22],Non-congested,Large systems,case2736sp
0.003353409,Method in [22],Non-congested,Large systems,case2736sp
0.002501115,Method in [22],Non-congested,Large systems,case2736sp
0.002497743,Method in [22],Non-congested,Large systems,case2736sp
0.005170977,Method in [22],Non-congested,Large systems,case2736sp
0.004467661,Method in [22],Non-congested,Large systems,case2736sp
0.005169417,Method in [22],Non-congested,Large systems,case2736sp
0.00132013,Method in [22],Non-congested,Large systems,case2736sp
0.001324681,Method in [22],Non-congested,Large systems,case2736sp
0.000552661,Method in [22],Non-congested,Large systems,case2736sp
0.001144785,Method in [22],Non-congested,Large systems,case2736sp
0.003554239,Method in [22],Non-congested,Large systems,case2736sp
0.00466833,Method in [22],Non-congested,Large systems,case2736sp
0.004533791,Method in [22],Non-congested,Large systems,case2736sp
0.004787553,Method in [22],Non-congested,Large systems,case2736sp
0.004788917,Method in [22],Non-congested,Large systems,case2736sp
0.001714304,Method in [22],Non-congested,Large systems,case2736sp
0.001726206,Method in [22],Non-congested,Large systems,case2736sp
0.003284918,Method in [22],Non-congested,Large systems,case2736sp
0.003253931,Method in [22],Non-congested,Large systems,case2736sp
0.003278165,Method in [22],Non-congested,Large systems,case2736sp
0.00325059,Method in [22],Non-congested,Large systems,case2736sp
0.002782254,Method in [22],Non-congested,Large systems,case2736sp
0.002745793,Method in [22],Non-congested,Large systems,case2736sp
0.002858383,Method in [22],Non-congested,Large systems,case2736sp
0.002795481,Method in [22],Non-congested,Large systems,case2736sp
0.002749187,Method in [22],Non-congested,Large systems,case2736sp
0.002754908,Method in [22],Non-congested,Large systems,case2736sp
0.003715032,Method in [22],Non-congested,Large systems,case2736sp
0.005713991,Method in [22],Non-congested,Large systems,case2736sp
0.00349714,Method in [22],Non-congested,Large systems,case2736sp
0.0022474,Method in [22],Non-congested,Large systems,case2736sp
0.001601282,Method in [22],Non-congested,Large systems,case2736sp
0.000528216,Method in [22],Non-congested,Large systems,case2736sp
0.004873884,Method in [22],Non-congested,Large systems,case2736sp
0.004883932,Method in [22],Non-congested,Large systems,case2736sp
0.004868831,Method in [22],Non-congested,Large systems,case2736sp
0.004867957,Method in [22],Non-congested,Large systems,case2736sp
0.003435248,Method in [22],Non-congested,Large systems,case2736sp
0.003435249,Method in [22],Non-congested,Large systems,case2736sp
0.001054564,Method in [22],Non-congested,Large systems,case2736sp
0.001288631,Method in [22],Non-congested,Large systems,case2736sp
0.001662324,Method in [22],Non-congested,Large systems,case2736sp
0.001726131,Method in [22],Non-congested,Large systems,case2736sp
0.00132162,Method in [22],Non-congested,Large systems,case2736sp
0.000978902,Method in [22],Non-congested,Large systems,case2736sp
0.000963503,Method in [22],Non-congested,Large systems,case2736sp
0.00128607,Method in [22],Non-congested,Large systems,case2736sp
0.00222356,Method in [22],Non-congested,Large systems,case2736sp
0.002221195,Method in [22],Non-congested,Large systems,case2736sp
0.002396845,Method in [22],Non-congested,Large systems,case2736sp
0.00239792,Method in [22],Non-congested,Large systems,case2736sp
0.002297766,Method in [22],Non-congested,Large systems,case2736sp
0.002404313,Method in [22],Non-congested,Large systems,case2736sp
0.000808685,Method in [22],Non-congested,Large systems,case2736sp
0.000687544,Method in [22],Non-congested,Large systems,case2736sp
0.000802045,Method in [22],Non-congested,Large systems,case2736sp
0.000687535,Method in [22],Non-congested,Large systems,case2736sp
0.003114486,Method in [22],Non-congested,Large systems,case2736sp
0.003114516,Method in [22],Non-congested,Large systems,case2736sp
0.002437485,Method in [22],Non-congested,Large systems,case2736sp
0.001239975,Method in [22],Non-congested,Large systems,case2736sp
0.00519419,Method in [22],Non-congested,Large systems,case2736sp
0.005190827,Method in [22],Non-congested,Large systems,case2736sp
0.001945357,Method in [22],Non-congested,Large systems,case2736sp
0.001940201,Method in [22],Non-congested,Large systems,case2736sp
0.002703366,Method in [22],Non-congested,Large systems,case2736sp
0.002703756,Method in [22],Non-congested,Large systems,case2736sp
0.000765624,Method in [22],Non-congested,Large systems,case2736sp
0.000765598,Method in [22],Non-congested,Large systems,case2736sp
0.000567822,Method in [22],Non-congested,Large systems,case2736sp
0.000567385,Method in [22],Non-congested,Large systems,case2736sp
0.001887943,Method in [22],Non-congested,Large systems,case2736sp
0.001890306,Method in [22],Non-congested,Large systems,case2736sp
0.000801016,Method in [22],Non-congested,Large systems,case2736sp
0.001279949,Method in [22],Non-congested,Large systems,case2736sp
0.00072387,Method in [22],Non-congested,Large systems,case2736sp
0.001321631,Method in [22],Non-congested,Large systems,case2736sp
0.001002786,Method in [22],Non-congested,Large systems,case2736sp
0.003235754,Method in [22],Non-congested,Large systems,case2736sp
0.0032331,Method in [22],Non-congested,Large systems,case2736sp
0.00525464,Method in [22],Non-congested,Large systems,case2736sp
0.005132965,Method in [22],Non-congested,Large systems,case2736sp
0.000465669,Method in [22],Non-congested,Large systems,case2736sp
0.000492044,Method in [22],Non-congested,Large systems,case2736sp
0.001565797,Method in [22],Non-congested,Large systems,case2736sp
0.001562816,Method in [22],Non-congested,Large systems,case2736sp
0.002722304,Method in [22],Non-congested,Large systems,case2736sp
0.002720715,Method in [22],Non-congested,Large systems,case2736sp
0.004762523,Method in [22],Non-congested,Large systems,case2736sp
0.004709503,Method in [22],Non-congested,Large systems,case2736sp
0.005542976,Method in [22],Non-congested,Large systems,case2736sp
0.005547319,Method in [22],Non-congested,Large systems,case2736sp
0.000426251,Method in [22],Non-congested,Large systems,case2736sp
0.00041692,Method in [22],Non-congested,Large systems,case2736sp
0.001956366,Method in [22],Non-congested,Large systems,case2736sp
0.001958142,Method in [22],Non-congested,Large systems,case2736sp
0.003129328,Method in [22],Non-congested,Large systems,case2736sp
0.003124096,Method in [22],Non-congested,Large systems,case2736sp
0.000727519,Method in [22],Non-congested,Large systems,case2736sp
0.000729259,Method in [22],Non-congested,Large systems,case2736sp
0.000984313,Method in [22],Non-congested,Large systems,case2736sp
0.000988967,Method in [22],Non-congested,Large systems,case2736sp
0.000306652,Method in [22],Non-congested,Large systems,case2736sp
0.000314004,Method in [22],Non-congested,Large systems,case2736sp
0.000487771,Method in [22],Non-congested,Large systems,case2736sp
0.000487205,Method in [22],Non-congested,Large systems,case2736sp
0.001932993,Method in [22],Non-congested,Large systems,case2736sp
0.000459592,Method in [22],Non-congested,Large systems,case2736sp
0.002902533,Method in [22],Non-congested,Large systems,case2736sp
0.002892639,Method in [22],Non-congested,Large systems,case2736sp
0.000637718,Method in [22],Non-congested,Large systems,case2736sp
0.000646381,Method in [22],Non-congested,Large systems,case2736sp
7.30912E-05,Method in [22],Non-congested,Large systems,case2736sp
6.77982E-05,Method in [22],Non-congested,Large systems,case2736sp
0.005098569,Method in [22],Non-congested,Large systems,case2736sp
0.005098819,Method in [22],Non-congested,Large systems,case2736sp
0.004524003,Method in [22],Non-congested,Large systems,case2736sp
0.004526922,Method in [22],Non-congested,Large systems,case2736sp
0.00348904,Method in [22],Non-congested,Large systems,case2736sp
0.00348865,Method in [22],Non-congested,Large systems,case2736sp
0.002518022,Method in [22],Non-congested,Large systems,case2736sp
0.002522295,Method in [22],Non-congested,Large systems,case2736sp
0.001027924,Method in [22],Non-congested,Large systems,case2736sp
0.001006934,Method in [22],Non-congested,Large systems,case2736sp
0.002324317,Method in [22],Non-congested,Large systems,case2736sp
0.002331087,Method in [22],Non-congested,Large systems,case2736sp
0.002264221,Method in [22],Non-congested,Large systems,case2736sp
0.001150177,Method in [22],Non-congested,Large systems,case2736sp
0.002077081,Method in [22],Non-congested,Large systems,case2736sp
0.003019526,Method in [22],Non-congested,Large systems,case2736sp
0.001364601,Method in [22],Non-congested,Large systems,case2736sp
0.001363316,Method in [22],Non-congested,Large systems,case2736sp
0.002668735,Method in [22],Non-congested,Large systems,case2736sp
0.002013074,Method in [22],Non-congested,Large systems,case2736sp
0.00322245,Method in [22],Non-congested,Large systems,case2736sp
0.003224849,Method in [22],Non-congested,Large systems,case2736sp
0.000151342,Method in [22],Non-congested,Large systems,case2736sp
0.000149373,Method in [22],Non-congested,Large systems,case2736sp
0.001030382,Method in [22],Non-congested,Large systems,case2736sp
