LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
0.957058609,Method in [22],5,,,,,,,,,,,
0.298682354,Method in [22],5,,,,,,,,,,,
-0.057856841,Method in [22],5,,,,,,,,,,,
-0.007664279,Method in [22],5,,,,,,,,,,,
0.056407576,Method in [22],5,,,,,,,,,,,
0.166323058,Method in [22],5,,,,,,,,,,,
0.077419707,Method in [22],5,,,,,,,,,,,
0.072164953,Method in [22],5,,,,,,,,,,,
-0.056580551,Method in [22],5,,,,,,,,,,,
0.054775814,Method in [22],5,,,,,,,,,,,
0.010797322,Method in [22],5,,,,,,,,,,,
0.004986426,Method in [22],5,,,,,,,,,,,
-0.046166688,Method in [22],5,,,,,,,,,,,
-0.022526188,Method in [22],5,,,,,,,,,,,
-0.000464312,Method in [22],5,,,,,,,,,,,
-0.017046183,Method in [22],5,,,,,,,,,,,
-0.026438556,Method in [22],5,,,,,,,,,,,
-0.055474544,Method in [22],5,,,,,,,,,,,
-0.031026044,Method in [22],5,,,,,,,,,,,
0.08070062,Method in [22],5,,,,,,,,,,,
0.373071921,Method in [22],6,,,,,,,,,,,
0.391098149,Method in [22],6,,,,,,,,,,,
0.168018066,Method in [22],6,,,,,,,,,,,
0.359900036,Method in [22],6,,,,,,,,,,,
0.401713764,Method in [22],6,,,,,,,,,,,
1.063781252,Method in [22],6,,,,,,,,,,,
0.102533157,Method in [22],6,,,,,,,,,,,
0.183591887,Method in [22],6,,,,,,,,,,,
0.169640962,Method in [22],6,,,,,,,,,,,
0.326434308,Method in [22],6,,,,,,,,,,,
0.202099731,Method in [22],6,,,,,,,,,,,
0.196046424,Method in [22],6,,,,,,,,,,,
0.053135835,Method in [22],6,,,,,,,,,,,
0.155618412,Method in [22],6,,,,,,,,,,,
0.062017529,Method in [22],6,,,,,,,,,,,
0.06262687,Method in [22],6,,,,,,,,,,,
-0.008897226,Method in [22],6,,,,,,,,,,,
0.008853244,Method in [22],6,,,,,,,,,,,
0.066016968,Method in [22],6,,,,,,,,,,,
0.047195532,Method in [22],6,,,,,,,,,,,
0.000703311,Method in [22],6,,,,,,,,,,,
-0.049120858,Method in [22],6,,,,,,,,,,,
0.028204621,Method in [22],6,,,,,,,,,,,
0.147431054,Method in [22],6,,,,,,,,,,,
-0.001621755,Method in [22],7,,,,,,,,,,,
-0.001415863,Method in [22],7,,,,,,,,,,,
-0.027712766,Method in [22],7,,,,,,,,,,,
0.02863609,Method in [22],7,,,,,,,,,,,
0.032607008,Method in [22],7,,,,,,,,,,,
0.042656969,Method in [22],7,,,,,,,,,,,
0.875263713,Method in [22],7,,,,,,,,,,,
0.518871584,Method in [22],7,,,,,,,,,,,
0.008912045,Method in [22],7,,,,,,,,,,,
0.015938202,Method in [22],7,,,,,,,,,,,
-0.006293017,Method in [22],7,,,,,,,,,,,
-0.009899159,Method in [22],7,,,,,,,,,,,
-0.074119745,Method in [22],7,,,,,,,,,,,
-0.023486252,Method in [22],7,,,,,,,,,,,
-0.055456256,Method in [22],7,,,,,,,,,,,
-0.053512952,Method in [22],7,,,,,,,,,,,
-0.045650329,Method in [22],7,,,,,,,,,,,
-0.071168665,Method in [22],7,,,,,,,,,,,
-0.054345474,Method in [22],7,,,,,,,,,,,
-0.062255918,Method in [22],7,,,,,,,,,,,
-0.073511533,Method in [22],7,,,,,,,,,,,
-0.089772304,Method in [22],7,,,,,,,,,,,
-0.068820432,Method in [22],7,,,,,,,,,,,
-0.028232909,Method in [22],7,,,,,,,,,,,
0.016641957,Method in [22],8,,,,,,,,,,,
0.019450567,Method in [22],8,,,,,,,,,,,
-0.02580258,Method in [22],8,,,,,,,,,,,
0.116267875,Method in [22],8,,,,,,,,,,,
0.097096447,Method in [22],8,,,,,,,,,,,
0.155655604,Method in [22],8,,,,,,,,,,,
0.508173865,Method in [22],8,,,,,,,,,,,
0.880648591,Method in [22],8,,,,,,,,,,,
0.041589934,Method in [22],8,,,,,,,,,,,
0.063511241,Method in [22],8,,,,,,,,,,,
0.015224537,Method in [22],8,,,,,,,,,,,
0.008582544,Method in [22],8,,,,,,,,,,,
-0.100007631,Method in [22],8,,,,,,,,,,,
-0.029721713,Method in [22],8,,,,,,,,,,,
-0.124010823,Method in [22],8,,,,,,,,,,,
-0.120216866,Method in [22],8,,,,,,,,,,,
-0.163642753,Method in [22],8,,,,,,,,,,,
-0.175409808,Method in [22],8,,,,,,,,,,,
-0.113860722,Method in [22],8,,,,,,,,,,,
-0.13064612,Method in [22],8,,,,,,,,,,,
-0.183592827,Method in [22],8,,,,,,,,,,,
-0.233494387,Method in [22],8,,,,,,,,,,,
-0.148193464,Method in [22],8,,,,,,,,,,,
-0.044209723,Method in [22],8,,,,,,,,,,,
-0.005047733,Method in [22],9,,,,,,,,,,,
-0.000920813,Method in [22],9,,,,,,,,,,,
-0.012409452,Method in [22],9,,,,,,,,,,,
0.095430009,Method in [22],9,,,,,,,,,,,
-0.014224214,Method in [22],9,,,,,,,,,,,
0.004202243,Method in [22],9,,,,,,,,,,,
-0.14311391,Method in [22],9,,,,,,,,,,,
-0.105250041,Method in [22],9,,,,,,,,,,,
0.114939414,Method in [22],9,,,,,,,,,,,
-0.03248688,Method in [22],9,,,,,,,,,,,
0.00483905,Method in [22],9,,,,,,,,,,,
0.002351598,Method in [22],9,,,,,,,,,,,
-0.122322559,Method in [22],9,,,,,,,,,,,
-0.015113045,Method in [22],9,,,,,,,,,,,
-0.047165303,Method in [22],9,,,,,,,,,,,
-0.051063111,Method in [22],9,,,,,,,,,,,
-0.0932498,Method in [22],9,,,,,,,,,,,
-0.067640571,Method in [22],9,,,,,,,,,,,
-0.057032624,Method in [22],9,,,,,,,,,,,
-0.069089216,Method in [22],9,,,,,,,,,,,
-0.070104559,Method in [22],9,,,,,,,,,,,
-0.087708527,Method in [22],9,,,,,,,,,,,
-0.078740494,Method in [22],9,,,,,,,,,,,
-0.006091589,Method in [22],9,,,,,,,,,,,
0.180118273,Method in [22],10,,,,,,,,,,,
0.182492437,Method in [22],10,,,,,,,,,,,
0.097206011,Method in [22],10,,,,,,,,,,,
0.185228765,Method in [22],10,,,,,,,,,,,
0.245854942,Method in [22],10,,,,,,,,,,,
0.317815309,Method in [22],10,,,,,,,,,,,
0.017575137,Method in [22],10,,,,,,,,,,,
0.066789285,Method in [22],10,,,,,,,,,,,
0.109325456,Method in [22],10,,,,,,,,,,,
0.278883275,Method in [22],10,,,,,,,,,,,
0.153088751,Method in [22],10,,,,,,,,,,,
0.150824812,Method in [22],10,,,,,,,,,,,
