LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
-0.756649744,Method in [22],22,,,,,,,,,,,
-0.862500098,Method in [22],22,,,,,,,,,,,
-0.951917574,Method in [22],22,,,,,,,,,,,
-1.083372521,Method in [22],22,,,,,,,,,,,
-0.625005239,Method in [22],22,,,,,,,,,,,
-0.681150467,Method in [22],22,,,,,,,,,,,
-0.611968558,Method in [22],22,,,,,,,,,,,
-0.623436796,Method in [22],22,,,,,,,,,,,
-0.651288269,Method in [22],22,,,,,,,,,,,
-0.428643715,Method in [22],22,,,,,,,,,,,
-0.13240602,Method in [22],22,,,,,,,,,,,
-0.174904646,Method in [22],22,,,,,,,,,,,
-0.045913575,Method in [22],22,,,,,,,,,,,
0.014478422,Method in [22],22,,,,,,,,,,,
-0.259254633,Method in [22],22,,,,,,,,,,,
-0.288399471,Method in [22],22,,,,,,,,,,,
0.037802185,Method in [22],22,,,,,,,,,,,
0.338501233,Method in [22],22,,,,,,,,,,,
-0.28770273,Method in [22],22,,,,,,,,,,,
-0.320745422,Method in [22],22,,,,,,,,,,,
-0.192901638,Method in [22],23,,,,,,,,,,,
-0.194591301,Method in [22],23,,,,,,,,,,,
-0.127145666,Method in [22],23,,,,,,,,,,,
-0.281945515,Method in [22],23,,,,,,,,,,,
-0.285107052,Method in [22],23,,,,,,,,,,,
-0.321619595,Method in [22],23,,,,,,,,,,,
-0.445112903,Method in [22],23,,,,,,,,,,,
-0.509217101,Method in [22],23,,,,,,,,,,,
-0.214545797,Method in [22],23,,,,,,,,,,,
-0.238237918,Method in [22],23,,,,,,,,,,,
-0.216750812,Method in [22],23,,,,,,,,,,,
-0.201076266,Method in [22],23,,,,,,,,,,,
-0.251982415,Method in [22],23,,,,,,,,,,,
-0.130836334,Method in [22],23,,,,,,,,,,,
-0.013252246,Method in [22],23,,,,,,,,,,,
-0.014472739,Method in [22],23,,,,,,,,,,,
-0.010586784,Method in [22],23,,,,,,,,,,,
0.029502629,Method in [22],23,,,,,,,,,,,
0.010753688,Method in [22],23,,,,,,,,,,,
0.050443074,Method in [22],23,,,,,,,,,,,
0.035588405,Method in [22],23,,,,,,,,,,,
0.076508545,Method in [22],23,,,,,,,,,,,
0.078057696,Method in [22],23,,,,,,,,,,,
-0.094671628,Method in [22],23,,,,,,,,,,,
-0.016820216,Method in [22],24,,,,,,,,,,,
-0.02364406,Method in [22],24,,,,,,,,,,,
0.287541625,Method in [22],24,,,,,,,,,,,
-0.084324604,Method in [22],24,,,,,,,,,,,
-0.104555295,Method in [22],24,,,,,,,,,,,
-0.139377238,Method in [22],24,,,,,,,,,,,
-0.318236193,Method in [22],24,,,,,,,,,,,
-0.331933537,Method in [22],24,,,,,,,,,,,
-0.098141616,Method in [22],24,,,,,,,,,,,
-0.136162815,Method in [22],24,,,,,,,,,,,
-0.111666914,Method in [22],24,,,,,,,,,,,
-0.127646765,Method in [22],24,,,,,,,,,,,
-0.210208711,Method in [22],24,,,,,,,,,,,
-0.020916142,Method in [22],24,,,,,,,,,,,
0.120301111,Method in [22],24,,,,,,,,,,,
0.064665542,Method in [22],24,,,,,,,,,,,
0.059330781,Method in [22],24,,,,,,,,,,,
0.099155539,Method in [22],24,,,,,,,,,,,
0.014426612,Method in [22],24,,,,,,,,,,,
-0.023820995,Method in [22],24,,,,,,,,,,,
0.107679471,Method in [22],24,,,,,,,,,,,
0.106843862,Method in [22],24,,,,,,,,,,,
-0.042855997,Method in [22],24,,,,,,,,,,,
0.324811299,Method in [22],24,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
